location,average_cost,minimum_order,rating,votes,delivery_time,is_rating,is_votes,average_cost_cat,minimum_order_less_50,rating_cat,fast,medium,slow,is_bakery_nf_,city_nf_,rating_votes
"D-Block, Sector 63, Noida",250.0,50.0,3.0,5.0,30 minutes,1,1,1,0,3_to_3.9,0,2,0,0,Noida,2.70805020110221
"D-Block, Sector 63, Noida",200.0,99.0,3.7,138.0,65 minutes,1,1,0,1,3_to_3.9,0,2,0,0,Noida,6.235586504807383
"Sector 3, Marathalli",150.0,50.0,3.2,4.0,30 minutes,1,1,0,0,3_to_3.9,1,2,0,0,Bengaluru,2.5494451709255714
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,1.0,1.0,45 minutes,0,0,0,0,less_3,2,0,0,0,Bengaluru,0.0
"D-Block, Sector 63, Noida",100.0,99.0,3.7,110.0,45 minutes,1,1,0,1,3_to_3.9,0,2,0,0,Noida,6.008813185442595
Mumbai Central,150.0,50.0,3.2,15.0,45 minutes,1,1,0,0,3_to_3.9,2,1,0,0,Mumbai,3.871201010907891
"Dockyard Road, Mumbai CST Area",150.0,50.0,3.3,44.0,45 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Mumbai,4.978112102390695
"Sector 1, Noida",200.0,50.0,3.8,18.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Noida,4.225372824628504
"Gora Bazar, Rajbari, North Dumdum, Kolkata",150.0,50.0,3.2,18.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Kolkata,4.053522567701846
"D-Block, Sector 63, Noida",400.0,50.0,4.0,189.0,30 minutes,1,1,1,0,greater_equal_4,1,1,3,0,Noida,6.628041376179533
"FTI College, Law College Road, Pune",200.0,50.0,3.1,279.0,45 minutes,1,1,0,0,3_to_3.9,4,0,0,1,Pune,6.762613893312466
"D-Block, Sector 63, Noida",350.0,99.0,3.3,22.0,45 minutes,1,1,1,1,3_to_3.9,0,2,0,0,Noida,4.28496492183075
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100.0,50.0,4.0,581.0,30 minutes,1,1,0,0,greater_equal_4,0,1,0,0,Gurgaon,7.751045117971802
"Sector 1, Noida",600.0,50.0,4.7,914.0,45 minutes,1,1,1,0,greater_equal_4,5,1,2,0,Noida,8.365393080170163
Pune University,100.0,50.0,3.4,23.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Pune,4.359269647551265
"Moulali, Kolkata",100.0,50.0,3.6,105.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Kolkata,5.934894195619588
Delhi University-GTB Nagar,200.0,50.0,3.5,305.0,45 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Delhi,6.97307474510278
"Tiretti, Kolkata",300.0,50.0,3.6,54.0,30 minutes,1,1,1,0,3_to_3.9,2,0,0,0,Kolkata,5.2699178920263385
"Sandhurst Road, Mumbai CST Area",200.0,50.0,4.0,1408.0,45 minutes,1,1,0,0,greater_equal_4,0,1,1,0,Mumbai,8.636219897837877
Mumbai Central,150.0,50.0,4.1,806.0,45 minutes,1,1,0,0,greater_equal_4,2,0,0,0,Mumbai,8.103070716216891
"MG Road, Pune",150.0,50.0,3.7,41.0,30 minutes,1,1,0,0,3_to_3.9,3,0,0,1,Pune,5.021904886354487
"Hyderabad Public School, Begumpet",100.0,50.0,3.7,100.0,45 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Hyderabad,5.91350300563827
"Tiretti, Kolkata",200.0,50.0,3.6,106.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Kolkata,5.944372939574132
Majestic,200.0,50.0,3.8,37.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Bengaluru,4.9459189793765646
"D-Block, Sector 63, Noida",200.0,50.0,3.4,45.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Noida,5.030437921392435
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Bengaluru,0.0
Delhi University-GTB Nagar,200.0,99.0,3.5,63.0,45 minutes,1,1,0,1,3_to_3.9,1,1,0,0,Delhi,5.395897694886901
Delhi University-GTB Nagar,200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Delhi,0.0
"FTI College, Law College Road, Pune",150.0,50.0,3.1,253.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Pune,6.664791600218621
"FTI College, Law College Road, Pune",150.0,50.0,3.2,4.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Pune,2.5494451709255714
"Sandhurst Road, Mumbai CST Area",100.0,50.0,3.3,12.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Mumbai,3.6788291182604347
"MG Road, Pune",200.0,50.0,3.9,327.0,45 minutes,1,1,0,0,3_to_3.9,2,0,1,0,Pune,7.150936724032854
"Sector 1, Noida",250.0,50.0,3.4,49.0,30 minutes,1,1,1,0,3_to_3.9,1,1,0,0,Noida,5.115595729732743
"Chandni Chowk, Kolkata",100.0,50.0,3.3,11.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Kolkata,3.591817741270805
"MG Road, Pune",150.0,50.0,2.9,8.0,45 minutes,1,1,0,0,less_3,2,1,0,0,Pune,3.1441522786722644
Delhi University-GTB Nagar,250.0,50.0,3.8,19.0,30 minutes,1,1,1,0,3_to_3.9,0,1,0,0,Delhi,4.279440045898781
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,3.7,18.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Bengaluru,4.198704577546343
"Delhi Administration Flats, Timarpur",100.0,50.0,3.1,7.0,30 minutes,1,1,0,0,3_to_3.9,1,2,0,0,Delhi,3.077312260546414
"MG Road, Pune",350.0,50.0,3.5,16.0,45 minutes,1,1,1,0,3_to_3.9,0,2,0,0,Pune,4.02535169073515
"Sector 1, Noida",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,3,0,0,1,Noida,0.0
"Yerawada, Pune, Maharashtra",600.0,50.0,4.6,391.0,30 minutes,1,1,1,0,greater_equal_4,3,1,2,0,Pune,7.494763863480415
"Sector 3, Marathalli",200.0,50.0,3.5,32.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Bengaluru,4.718498871295094
"Sector 1, Noida",200.0,50.0,3.3,39.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,1,Noida,4.857484114602081
"Sector 14, Noida",150.0,99.0,3.9,116.0,30 minutes,1,1,0,1,3_to_3.9,1,0,0,0,Noida,6.114566744241966
"Dockyard Road, Mumbai CST Area",100.0,50.0,3.4,22.0,45 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Mumbai,4.314817884980432
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,3.9,51.0,45 minutes,1,1,0,0,3_to_3.9,2,0,1,0,Bengaluru,5.292802185859927
"Delhi High Court, India Gate",150.0,50.0,3.2,9.0,30 minutes,1,1,0,0,3_to_3.9,0,1,1,0,Delhi,3.3603753871419
Mumbai Central,300.0,50.0,3.7,128.0,45 minutes,1,1,1,0,3_to_3.9,1,1,1,0,Mumbai,6.160363083569796
"Rmz Centennial, I Gate, Whitefield",300.0,50.0,4.1,119.0,30 minutes,1,1,1,0,greater_equal_4,2,0,1,0,Bengaluru,6.190110466821792
"D-Block, Sector 63, Noida",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,1,0,0,Noida,0.0
"Sector 1, Noida",200.0,50.0,3.4,26.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Noida,4.481871969643597
"Moulali, Kolkata",100.0,50.0,4.0,381.0,65 minutes,1,1,0,0,greater_equal_4,2,1,0,0,Kolkata,7.329093736246592
Majestic,350.0,50.0,4.2,441.0,30 minutes,1,1,1,0,greater_equal_4,1,3,0,0,Bengaluru,7.524129400736169
"Chandni Chowk, Kolkata",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,1,0,0,Kolkata,0.0
"Delhi Administration Flats, Timarpur",100.0,50.0,3.7,62.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Delhi,5.435467204695271
"Rmz Centennial, I Gate, Whitefield",100.0,50.0,3.6,7.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Bengaluru,3.2268439945173775
Delhi University-GTB Nagar,100.0,50.0,3.6,90.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,5.780743515792329
"Sector 14, Noida",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,0,0,0,Noida,0.0
"Sandhurst Road, Mumbai CST Area",750.0,50.0,4.3,3124.0,45 minutes,1,1,1,0,greater_equal_4,1,1,2,0,Mumbai,9.505484533659093
"D-Block, Sector 63, Noida",100.0,50.0,3.5,69.0,30 minutes,1,1,0,0,3_to_3.9,0,2,1,0,Noida,5.486869473092628
"D-Block, Sector 63, Noida",150.0,50.0,3.3,1.0,30 minutes,1,0,0,0,3_to_3.9,0,1,1,0,Noida,1.1939224684724346
"Sector 14, Noida",200.0,50.0,3.9,385.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Noida,7.314219887423385
"MG Road, Pune",150.0,99.0,2.8,96.0,45 minutes,1,1,0,1,less_3,0,2,0,0,Pune,5.5939676086489944
"Sector 1, Noida",200.0,50.0,1.0,1.0,45 minutes,0,0,0,0,less_3,0,2,0,0,Noida,0.0
"MG Road, Pune",150.0,50.0,3.7,55.0,30 minutes,1,1,0,0,3_to_3.9,1,2,0,0,Pune,5.31566600488265
"D-Block, Sector 63, Noida",200.0,50.0,3.3,9.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Noida,3.391147045808654
"Rmz Centennial, I Gate, Whitefield",100.0,50.0,2.6,1.0,30 minutes,1,0,0,0,less_3,0,3,1,0,Bengaluru,0.9555114450274363
"Chatta Bazaar, Malakpet, Hyderabad",50.0,50.0,3.5,12.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Hyderabad,3.7376696182833684
"Sandhurst Road, Mumbai CST Area",150.0,50.0,3.5,85.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Mumbai,5.695414224985685
"Sector 63A,Gurgaon",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,3,0,0,Gurgaon,0.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,3.7,27.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Bengaluru,4.604169685654508
"Rmz Centennial, I Gate, Whitefield",200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,0,1,0,Bengaluru,0.0
Mumbai Central,200.0,50.0,3.8,107.0,30 minutes,1,1,0,0,3_to_3.9,3,0,0,0,Mumbai,6.007829901194246
"D-Block, Sector 63, Noida",100.0,50.0,3.3,13.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Noida,3.758871825933971
"Delhi High Court, India Gate",200.0,50.0,3.3,25.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,4.412798293340635
"D-Block, Sector 63, Noida",100.0,50.0,3.5,24.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Noida,4.430816798843313
Delhi University-GTB Nagar,100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,0,0,0,Delhi,0.0
Delhi Cantt.,150.0,50.0,2.8,7.0,30 minutes,1,1,0,0,less_3,0,0,1,0,Delhi,2.9755295662364714
"Sector 3, Marathalli",300.0,99.0,2.9,393.0,65 minutes,1,1,1,1,less_3,0,1,0,0,Bengaluru,7.03852034886169
Pune University,200.0,50.0,3.9,348.0,30 minutes,1,1,0,0,3_to_3.9,1,2,0,0,Pune,7.213179032910075
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,3.4,15.0,30 minutes,1,1,0,0,3_to_3.9,0,1,1,0,Bengaluru,3.9318256327243257
Majestic,100.0,50.0,4.1,260.0,65 minutes,1,1,0,0,greater_equal_4,1,0,0,0,Bengaluru,6.97166860472579
"FTI College, Law College Road, Pune",200.0,50.0,3.9,326.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Pune,7.147873934502308
"Dockyard Road, Mumbai CST Area",100.0,50.0,3.5,18.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Mumbai,4.143134726391533
"Tejas Nagar Colony, Wadala West, Mumbai",200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,4,1,0,Mumbai,0.0
"D-Block, Sector 63, Noida",200.0,50.0,2.8,150.0,45 minutes,1,1,0,0,less_3,0,2,0,0,Noida,6.040254711277414
"Delhi Administration Flats, Timarpur",150.0,50.0,3.7,35.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Delhi,4.863680881139593
"Sector 14, Noida",100.0,50.0,3.0,7.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Noida,3.044522437723423
"MG Road, Pune",200.0,50.0,3.3,28.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Pune,4.526126978647638
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,3.5,87.0,45 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Bengaluru,5.718671087149952
"Sector 14, Noida",150.0,50.0,3.5,187.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Noida,6.483871585349955
"FTI College, Law College Road, Pune",100.0,50.0,2.6,28.0,30 minutes,1,1,0,0,less_3,2,0,0,0,Pune,4.28771595520264
"MG Road, Pune",150.0,50.0,2.8,1.0,30 minutes,1,0,0,0,less_3,1,2,0,0,Pune,1.0296194171811581
"FTI College, Law College Road, Pune",150.0,50.0,3.0,4.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Pune,2.4849066497880004
"Babarpur, New Delhi, Delhi",300.0,50.0,3.5,15.0,30 minutes,1,1,1,0,3_to_3.9,1,1,0,0,Delhi,3.960813169597578
"Rmz Centennial, I Gate, Whitefield",250.0,50.0,3.8,118.0,45 minutes,1,1,1,0,3_to_3.9,5,0,0,0,Bengaluru,6.105685691198005
"Sector 3, Marathalli",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,1,0,Bengaluru,0.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Bengaluru,0.0
"Rmz Centennial, I Gate, Whitefield",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,0,0,0,Bengaluru,0.0
"D-Block, Sector 63, Noida",200.0,50.0,3.1,12.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,1,Noida,3.616308761279101
Delhi Cantt.,300.0,50.0,4.2,1.0,45 minutes,1,0,1,0,greater_equal_4,0,1,0,0,Delhi,1.4350845252893227
"Nathan Road, Mangaldas Road, Pune",450.0,50.0,4.3,4691.0,45 minutes,1,1,1,0,greater_equal_4,1,0,2,0,Pune,9.912016081027975
"Mico Layout, Stage 2, BTM Layout,Bangalore",350.0,50.0,3.1,89.0,30 minutes,1,1,1,0,3_to_3.9,0,3,1,0,Bengaluru,5.620038481223241
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100.0,50.0,3.9,70.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Gurgaon,5.60947179518496
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150.0,50.0,3.1,9.0,30 minutes,1,1,0,0,3_to_3.9,0,1,1,0,Gurgaon,3.32862668882732
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",50.0,50.0,2.8,11.0,30 minutes,1,1,0,0,less_3,1,0,0,0,Gurgaon,3.4275146899795286
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,3.8,349.0,45 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Bengaluru,7.190072988934768
"MG Road, Pune",300.0,50.0,3.0,6.0,30 minutes,1,1,1,0,3_to_3.9,1,1,0,0,Pune,2.8903717578961645
"D-Block, Sector 63, Noida",250.0,99.0,4.5,143.0,65 minutes,1,1,1,1,greater_equal_4,0,2,0,0,Noida,6.466922027036182
"D-Block, Sector 63, Noida",150.0,50.0,3.2,7.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,1,Noida,3.109060958860994
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,0,0,0,Bengaluru,0.0
"Delhi High Court, India Gate",150.0,50.0,3.6,81.0,30 minutes,1,1,0,0,3_to_3.9,2,2,0,0,Delhi,5.675383000134503
Mumbai Central,50.0,50.0,3.7,63.0,45 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Mumbai,5.4514675460417115
"Sector 1, Noida",200.0,50.0,3.4,417.0,45 minutes,1,1,0,0,3_to_3.9,5,3,0,0,Noida,7.256861653420917
Mumbai Central,150.0,50.0,3.4,20.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Mumbai,4.219507705176107
"D-Block, Sector 63, Noida",150.0,50.0,4.2,124.0,30 minutes,1,1,0,0,greater_equal_4,0,1,0,0,Noida,6.25536609089436
Pune University,100.0,50.0,3.3,12.0,30 minutes,1,1,0,0,3_to_3.9,3,0,0,0,Pune,3.6788291182604347
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200.0,50.0,2.9,47.0,45 minutes,1,1,0,0,less_3,1,1,0,0,Gurgaon,4.914858338702487
"Rmz Centennial, I Gate, Whitefield",100.0,50.0,4.0,242.0,65 minutes,1,1,0,0,greater_equal_4,2,0,0,0,Bengaluru,6.875232087276577
"Yerawada, Pune, Maharashtra",300.0,50.0,3.5,12.0,30 minutes,1,1,1,0,3_to_3.9,1,0,1,0,Pune,3.7376696182833684
"Sector 1, Noida",150.0,50.0,3.4,9.0,30 minutes,1,1,0,0,3_to_3.9,0,0,1,0,Noida,3.4210000089583352
"FTI College, Law College Road, Pune",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,0,0,0,Pune,0.0
"D-Block, Sector 63, Noida",250.0,99.0,4.7,706.0,30 minutes,1,1,1,1,greater_equal_4,1,3,1,0,Noida,8.107177746209254
"Panjetan Colony, Malakpet, Hyderabad",50.0,50.0,4.0,109.0,30 minutes,1,1,0,0,greater_equal_4,0,1,0,0,Hyderabad,6.077642243349034
Pune University,150.0,50.0,4.4,584.0,45 minutes,1,1,0,0,greater_equal_4,1,0,0,0,Pune,7.851505523752443
"Delhi Administration Flats, Timarpur",150.0,50.0,3.6,37.0,30 minutes,1,1,0,0,3_to_3.9,3,0,0,0,Delhi,4.891851758106289
Delhi University-GTB Nagar,150.0,50.0,4.3,253.0,30 minutes,1,1,0,0,greater_equal_4,2,0,0,0,Delhi,6.992004511427037
"Mico Layout, Stage 2, BTM Layout,Bangalore",150.0,50.0,3.4,123.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Bengaluru,6.035959786994534
"Yerawada, Pune, Maharashtra",200.0,50.0,4.1,1665.0,30 minutes,1,1,0,0,greater_equal_4,0,1,2,0,Pune,8.828567376124806
Pune University,150.0,50.0,3.3,9.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Pune,3.391147045808654
"Delhi High Court, India Gate",200.0,50.0,3.9,191.0,45 minutes,1,1,0,0,3_to_3.9,3,1,0,0,Delhi,6.61324998118223
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,1,0,Gurgaon,0.0
"Rmz Centennial, I Gate, Whitefield",250.0,50.0,3.0,4.0,30 minutes,1,1,1,0,3_to_3.9,0,3,0,0,Bengaluru,2.4849066497880004
"Sector 1, Noida",150.0,50.0,3.5,40.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Noida,4.941642422609304
"Yerawada, Pune, Maharashtra",150.0,50.0,4.0,696.0,45 minutes,1,1,0,0,greater_equal_4,2,1,0,0,Pune,7.931644021454311
Mumbai Central,150.0,50.0,3.8,72.0,45 minutes,1,1,0,0,3_to_3.9,2,0,0,1,Mumbai,5.611667185748395
"Sector 63A,Gurgaon",200.0,99.0,4.0,334.0,45 minutes,1,1,0,1,greater_equal_4,2,2,0,0,Gurgaon,7.197435354096591
"Sector 1, Noida",200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,0,0,0,Noida,0.0
"Sector 1, Noida",250.0,50.0,3.8,173.0,45 minutes,1,1,1,0,3_to_3.9,1,1,1,0,Noida,6.488292661230119
Mumbai Central,100.0,50.0,3.1,5.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Mumbai,2.740840023925201
"Moulali, Kolkata",200.0,50.0,4.1,62.0,30 minutes,1,1,0,0,greater_equal_4,2,0,0,0,Kolkata,5.538121358755354
"Tiretti, Kolkata",100.0,50.0,3.8,85.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Kolkata,5.777652323222656
"Raja Bazar, Kolkata",250.0,50.0,3.8,224.0,45 minutes,1,1,1,0,3_to_3.9,2,0,1,0,Kolkata,6.74664711858738
"D-Block, Sector 63, Noida",200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,0,1,0,Noida,0.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Gurgaon,0.0
"Delhi High Court, India Gate",600.0,50.0,4.2,2653.0,65 minutes,1,1,1,0,greater_equal_4,1,0,1,0,Delhi,9.318530879427062
"Yerawada, Pune, Maharashtra",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,2,0,0,Pune,0.0
Delhi Cantt.,150.0,50.0,4.8,326.0,30 minutes,1,1,0,0,greater_equal_4,1,2,0,0,Delhi,7.3555132992805525
"Yerawada, Pune, Maharashtra",300.0,50.0,3.5,90.0,45 minutes,1,1,1,0,3_to_3.9,1,1,0,0,Pune,5.752572638825633
"FTI College, Law College Road, Pune",200.0,50.0,3.9,175.0,45 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Pune,6.525762527059115
"FTI College, Law College Road, Pune",150.0,50.0,3.1,4.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Pune,2.517696472610991
"Rmz Centennial, I Gate, Whitefield",200.0,50.0,4.1,1.0,30 minutes,1,0,0,0,greater_equal_4,2,0,0,0,Bengaluru,1.410986973710262
"Babarpur, New Delhi, Delhi",100.0,50.0,3.3,15.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,3.901972669574645
"Dockyard Road, Mumbai CST Area",200.0,50.0,4.0,4335.0,30 minutes,1,1,0,0,greater_equal_4,1,0,1,1,Mumbai,9.760771250334534
Mumbai Central,400.0,50.0,3.6,163.0,45 minutes,1,1,1,0,3_to_3.9,0,0,2,0,Mumbai,6.374684046268826
"Sector 1, Noida",550.0,50.0,3.4,53.0,30 minutes,1,1,1,0,3_to_3.9,0,2,0,0,Noida,5.194067345174237
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150.0,50.0,2.9,6.0,45 minutes,1,1,0,0,less_3,3,0,0,0,Gurgaon,2.856470206220483
Delhi Cantt.,50.0,50.0,3.1,6.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,2.9231615807191558
Mumbai Central,350.0,50.0,3.0,19.0,45 minutes,1,1,1,0,3_to_3.9,1,3,0,0,Mumbai,4.04305126783455
"Rmz Centennial, I Gate, Whitefield",150.0,99.0,3.9,216.0,45 minutes,1,1,0,1,3_to_3.9,0,2,0,0,Bengaluru,6.736254960819766
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200.0,50.0,3.7,45.0,45 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Gurgaon,5.1149953094204985
"Nathan Road, Mangaldas Road, Pune",200.0,50.0,3.8,302.0,45 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Pune,7.045428084107209
"Tejas Nagar Colony, Wadala West, Mumbai",150.0,50.0,2.8,16.0,45 minutes,1,1,0,0,less_3,0,1,0,0,Mumbai,3.8022081394209395
"Dockyard Road, Mumbai CST Area",200.0,50.0,3.1,76.0,45 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Mumbai,5.462135451777431
